,name,DM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
115,4.0,558.8162631578948,22.813661370849374,0.41498607758634665,4.199722544470924,512.4005206545093,513.0062370564624,-160.92177536984354,26.448534295543034,1.7192085983196936,0.04678630080093734,0.39316946349447623,1.7700741873873846,1.7902203390805762,0.2941806343592846,0.0026601876629264074
116,5.0,558.8162631578948,-1763.9033921645282,47.51112038815705,5.510069796283311,512.4746154340015,512.4361990157756,37.360400526763264,166.74028483436788,3.227883645002138,0.03822256774622244,0.27659202664706883,1.1520321597868761,0.25893931605248816,1.1575090490766573,0.0023127458683580068
117,6.0,558.8162631578948,-4113.680128132001,5.1108296524495165,152.8503992058168,512.4918075403938,511.1664437665561,158.01721461934596,12.371784470929205,1.6078721233924735,0.0631366122384678,0.005651026346478321,0.0652250510215718,0.06530273699031834,0.0051103562980688196,4.6020709861459276e-05
118,7.0,558.8162631578948,-920.8643835171746,0.6863525780982604,269.73929877423404,512.4959566136985,512.4711521874756,102.90968985757421,38.73286478624257,1.7350050164581516,0.052282761974720364,0.00809225207055912,0.019715106446255338,0.019945184632931445,0.007507301656662285,0.00012020220825766692
119,8.0,558.8162631578948,-330.2330577980329,0.0609819805015991,246.0476129336879,512.4947415723051,512.4901787635721,172.49009550649183,64.261084830653,2.003634976244118,0.028281562999571734,0.010681485203613046,0.018261547519628957,0.01983576507930563,0.007385280413931549,7.031379140176137e-05
120,11.0,558.8162631578948,-946.4196466738758,5.913146760866658,11.9271492127,512.5060180082065,512.480710486021,183.31079310149627,39.43066428057456,1.7306472073380919,0.036720594029866535,0.14969078838169486,0.5573247131736013,0.5665008061871519,0.12130374754487307,0.0009818076776181468
121,12.0,558.8162631578948,-929.2312860281588,0.921721455575081,82.40996046231892,512.4985127072873,512.4934405706498,138.93204093562858,28.513799351369254,1.7335525505622822,0.04313671601020039,0.0188601971024262,0.07179577625734111,0.07271781969553107,0.014924202882058661,0.00015860493087051022
122,13.0,558.8162631578948,-854.2843725072473,0.1798724353390675,927.3425303489709,512.4990571312197,512.4661434417853,142.1495578671047,40.353322190411596,1.7475472798180411,0.07740057361465179,0.0039172471035369815,0.011694428089394656,0.011864776847796996,0.00336803106482768,3.644523636786084e-05
123,14.0,558.8162631578948,-2725.563513273037,1.0246263926027852,327.9619478736606,512.4972487101489,512.155972777466,161.0626159967038,11.42802906820351,-1.514870726441541,0.06822840918346126,0.0030234281700056392,0.03345275083162241,0.033528266502190485,0.002377222306222642,2.0980409207012916e-05
124,15.0,558.8162631578948,-323.14321213694245,0.20908797626182202,520.577814205885,512.4842365252632,512.490385492548,66.07223076448804,47.36642931231213,2.0119567911854297,0.06235818459813149,0.006143708890479247,0.007556143601491331,0.007914954248636254,0.005673972548581421,0.00024982884934399434
125,16.0,558.8162631578948,-1017.2330924998588,0.09849513992474143,2591.3465988391736,512.4988425649509,512.4878499462822,125.50518968277999,46.38495363177,1.7196890882589784,0.06080423509350525,0.0011616176730218906,0.002916721257299477,0.002944836549835155,0.001088386585492196,1.4204639861886242e-05
126,1.0,559.4054210526316,-1005.7207364625953,0.177988147016985,1816.4624891438787,512.4993239781462,512.484682969384,174.1157764242445,47.04832923443344,1.7213679422290378,0.11567455178758337,0.0033958074563089757,0.010969341487512541,0.011108534077953222,0.0029947243924204163,2.6246576710693096e-05
127,2.0,559.4054210526316,-723.1573110404881,0.6216110923974556,81.50827907261258,512.4943764164169,512.4618766046203,177.81159361089098,44.57078321341284,11.203526299510127,0.03742659251137437,0.026163184114976933,0.07997939812179763,0.08182440819161874,0.02045424810570217,0.00017364235798995975
128,3.0,559.4054210526316,-2589.8495900616626,2.199228472653509,184.01838071070554,512.4956552430185,512.3195068431742,170.44830920452165,19.224524896797597,-17.219909961533563,0.05679384021228332,0.006680700340464396,0.05250778956454567,0.05268863783706556,0.005931514266939188,4.985817550164391e-05
129,4.0,559.4054210526316,-1068.6539399047886,20.482128112931736,4.184112841696372,512.4144013143748,512.5766247863414,160.6715744365433,-26.52886962283379,1.712622807070361,0.04675839491971888,0.3871234188572153,1.7752882344391963,1.7937398839085175,0.2961137562667796,0.002681981610961614
130,5.0,559.4054210526316,-1976.4730557337439,59.45551503533398,5.513563040784047,512.4643076582298,512.3328563742873,37.38531169062703,167.13128255928476,3.21864193082271,0.03825422402230595,0.2733552892845537,1.155656025674837,0.25911637861083303,1.1603839832397436,0.002308605014954432
131,6.0,559.4054210526316,-5193.922914246787,8.278605229054111,152.1497482230032,512.4885600441195,511.55094890885874,157.30953269912285,12.434709110890942,1.6001660378084508,0.06327883181381302,0.0055146971538845785,0.0653947234078486,0.06545351384723994,0.005171422370781032,4.678553238244745e-05
132,7.0,559.4054210526316,-970.1719267953255,0.7640608081016899,269.7417157155066,512.495756770351,512.4746258874387,102.75718215511367,38.77524710338291,1.7267976088396315,0.05239842161688647,0.008060992091967594,0.01975258479922464,0.019960268185752646,0.007532057562801928,0.00012087549676250072
133,8.0,559.4054210526316,-336.373162542874,0.06315790649052519,245.98322015236644,512.4947029182092,512.4933426336986,171.95863000079308,64.44583377318872,1.996662228730069,0.028181196567605954,0.010555531750667143,0.018196999268932423,0.01970960515551483,0.00738217961138259,7.06379383452453e-05
134,11.0,559.4054210526316,-993.9938824009997,6.527016430369071,11.938633234033656,512.5058808174698,512.4701888801869,183.005222051714,39.49204270995011,1.7231171487335852,0.03674399834816806,0.14732283770682572,0.5568292227783858,0.5653387269531018,0.12143658683688631,0.000984808534984262
135,12.0,559.4054210526316,-981.5480839637755,1.0302863052572986,82.42825609235193,512.498965327551,512.4535333174625,28.533969340673714,138.65281338995197,3.2958145744159637,0.043213994227186595,0.018523912322886377,0.07185993449704581,0.014958513031904638,0.07268766209996347,0.0001593250982857761
136,13.0,559.4054210526316,-889.0197784013928,0.19341181949883327,927.2930126190141,512.4990866811798,512.4644697409279,141.96329196407987,40.39635706640338,1.740776200997702,0.07681251813031052,0.0038514808402931302,0.011603690941289728,0.011759854530266727,0.00334622031802551,3.627197465873435e-05
137,14.0,559.4054210526316,-3186.3030179410753,1.4094757156341298,327.60718527479963,512.4972449701305,512.1525420489385,160.85631031883685,11.435658641282147,-1.5229441905221732,0.06852560941347856,0.0028804314276540855,0.033605384272518635,0.03366684726314852,0.002391664208583537,2.1135312729009135e-05
138,15.0,559.4054210526316,-328.80794072132426,0.21831103925884146,520.6127721454226,512.4844160300877,512.491147035265,65.93201547145105,47.45905144377694,2.0052840358221284,0.0624800056803949,0.006147188213702037,0.007567736147357509,0.007913059307696204,0.005695791931869111,0.0002535174841465209
139,16.0,559.4054210526316,-1079.9026552881762,0.11164681531380546,2590.994926293447,512.4989303881365,512.488967005975,125.35169455437604,46.44485719182112,1.7111649121718961,0.061096704083204174,0.001160587473351508,0.0029307121586918147,0.0029557810349917974,0.0010951825319979577,1.4322271102839243e-05
140,1.0,559.9945789473685,-1075.3188892649305,0.20567721845928527,1816.9891714526173,512.4993443802597,512.484659900504,173.87140508670657,47.09798335495385,1.7117553838068091,0.11695757105115541,0.0033870905599745838,0.011086748804004865,0.011212713404049352,0.003030259643479853,2.6605644672174134e-05
141,2.0,559.9945789473685,-758.3388891856936,0.6830499185903408,81.50064315079452,512.4942940081266,512.4725647537815,177.46888248978883,44.667874785720606,36.326877463693144,0.03735915388032492,0.025691406023723908,0.07984024406398711,0.08153364296342383,0.02046735605452055,0.00017418440966825244
142,3.0,559.9945789473685,-3102.1260637863847,3.1668247772845897,184.05244834661383,512.495614985224,512.3641217366614,170.20871532832172,19.23330754640327,-4.663240427123839,0.05696561093948522,0.0064825004265018586,0.05260925082921627,0.05276191981312826,0.005950792209871935,5.0092847831545374e-05
143,4.0,559.9945789473685,-1171.9528809417009,24.262299600660867,4.225575762917726,512.4053386920563,511.660175173464,160.11824885526767,26.137500234137445,1.7002676877815113,0.04723199207665683,0.3703144530003961,1.773877509310435,1.789439488835346,0.29197062049127176,0.00265052126194153
144,5.0,559.9945789473685,-2272.7881649205933,78.42335006309285,5.510615506588127,512.4715856876049,512.8247858489841,37.34043110820331,167.454161255382,3.2086289286022516,0.0382005315048995,0.27021280774625267,1.1585778302333631,0.25932472709704363,1.1625764100513125,0.0023061864616187484
145,6.0,559.9945789473685,-7293.238699185971,16.364382736216005,151.98210177870993,512.4886833196281,513.2119581119715,157.100154263326,12.435756044127109,1.5917151036270087,0.06330374771876461,0.005356380747764807,0.0654195514550614,0.06546399651355052,0.005179661352897147,4.6923325480903234e-05
146,7.0,559.9945789473685,-1075.952688568555,0.9393542395478067,269.66908529635543,512.4961448630252,512.4858204987016,102.54899754794857,38.87129004160301,1.7116734452138145,0.052282555884698115,0.007966334758909106,0.019711624403484108,0.01988014687862728,0.007535939284922107,0.00012137110100349607
147,8.0,559.9945789473685,-343.67518860336867,0.0659240170601726,246.0848860879895,512.494735501968,512.4921204001967,171.40288994776617,64.63076183590692,1.988639998610173,0.02816472711290482,0.010442785699614154,0.01817773345755996,0.01962633155832341,0.0073959889187485235,7.11422393416349e-05
148,11.0,559.9945789473685,-1067.2071198322471,7.531947629795358,11.923653001406654,512.5074721898668,512.4149577881013,182.80617691471213,39.57999153436451,1.7128125090448478,0.03669338373518553,0.14447969646904701,0.5572826079095774,0.5649908165608173,0.12178749129766163,0.0009888745973339894
149,12.0,559.9945789473685,-1045.4904789867512,1.1732530567815864,82.23561385080059,512.4990099490451,512.4571192626839,28.651920268136205,138.52232534532945,6.428110687562605,0.043156964668151006,0.01820743303660521,0.07195743587579868,0.015034894524647924,0.0726884142542989,0.00016036804787767487
150,13.0,559.9945789473685,-943.4318666786584,0.21900869650973026,926.8723791271862,512.4991343141704,512.4718329675226,141.72969768985485,40.48240097164683,1.7311448237626255,0.07710378118018935,0.0038203691859286367,0.011651036405423046,0.011790372002627602,0.0033676158740731338,3.658859570762454e-05
151,14.0,559.9945789473685,-3767.412597096252,1.969138084095808,327.15293046295665,512.4970014061103,512.2113227471332,160.59406696492096,11.444275651710596,-1.53031641308975,0.0682641487479992,0.0027441421548869463,0.03347990019118834,0.033529750765646994,0.002387652875672825,2.113479454682883e-05
152,15.0,559.9945789473685,-353.35233896133803,0.25445844008951685,520.5990130013108,512.4845412393644,512.4904533451355,65.5565982337362,47.72935435647327,1.9784371969350387,0.06227934774361545,0.006094791868431596,0.0075477887395208705,0.00784293973850276,0.005709982472970107,0.0002620968698694528
153,16.0,559.9945789473685,-1186.673673695952,0.13577186091222554,2591.547227643073,512.4989292911424,512.4901618703739,125.17245113730485,46.49923915777848,1.6986791453395593,0.06153939809917121,0.00115890797819721,0.0029513895440239015,0.002972305057100738,0.0011041741042051778,1.4472558782825759e-05
154,1.0,560.5837368421053,-1143.113544133058,0.2344116135730895,1817.0142280727503,512.4994059993836,512.4837646125616,173.6798241605004,47.14735026317685,1.7034963400143566,0.11793128663587463,0.00337860114533238,0.011178367742666059,0.011293442916099386,0.0030586489033282986,2.6893683088182567e-05
155,2.0,560.5837368421053,-792.2571987246729,0.7445882358425508,81.46442974244512,512.4947010578903,512.4916055862069,44.73574993438129,177.23330511531898,19.039825047737054,0.03730462320539366,0.025294995318192768,0.07978280010464917,0.020475909302355145,0.08135113130305491,0.00017453622715561171
156,3.0,560.5837368421053,-3653.699394283779,4.4033530612102405,183.8840583031628,512.4960431429664,512.3663129691705,170.03846136813218,19.263182626221862,-1.5290580071543578,0.05693305099722039,0.006349181752211052,0.05259293824357498,0.05272711731128641,0.0059623478616222594,5.024364667924501e-05
157,4.0,560.5837368421053,-1266.0289367285902,28.715637127840818,4.212600356586337,512.4014483019129,511.41447044998154,159.00522382196317,-26.454675915914365,1.690742575660333,0.04691542313122637,0.361054025743807,1.7573700712485136,1.770635953050925,0.29446537776892745,0.002694560768263652
158,5.0,560.5837368421053,-2578.3787225568635,100.98791037315982,5.483678655936792,512.4795204281814,511.64956664388694,167.57259821116173,37.46350766937753,1.6299071661781164,0.038097004788113085,0.2685016768930062,1.1615799821114858,1.165068728780721,0.2599626091272707,0.0023098176148719464
